Call Option,,,,,
0,0.5,1,1.5,3,4.5
33.859,59.959,100.66,160.61,519.1,1419.4
0,31.893,57.7,98.439,359.93,1025
0,15.096,29.804,55.295,242.03,732.79
0,0,13.47,27.573,154.84,516.32
0,0,5.1548,11.767,91.193,355.96
0,0,0,4.1214,46.976,237.16
0,0,0,1.125,19.725,149.15
0,0,0,0,6.1485,83.951
0,0,0,0,1.236,36.251
0,0,0,0,0.11833,8.1492
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
,,,,,
,,,,,
Put Option,,,,,
0,0.5,1,1.5,3,4.5
15.634,8.4792,3.5042,0.94243,0,0
0,15.487,8.0042,2.9982,0,0
0,24.673,15.269,7.4363,0.0087053,0
0,0,24.983,14.963,0.1721,0
0,0,35.965,25.271,1.2357,0
0,0,0,36.97,4.9582,0
0,0,0,48.305,13.222,0
0,0,0,0,25.955,0
0,0,0,0,40.533,0.60155
0,0,0,0,53.855,8.2812
0,0,0,0,64.433,26.64
0,0,0,0,72.358,46.278
0,0,0,0,78.228,60.825
0,0,0,0,0,71.603
0,0,0,0,0,79.587
0,0,0,0,0,85.502
0,0,0,0,0,89.883
0,0,0,0,0,93.129
0,0,0,0,0,95.534
0,0,0,0,0,0
0,0,0,0,0,0
